PÉRIODE DE RÉFÉRENCE,GÉO,DGUID,Type de construction résidentielle (9),Taille du ménage (8),COORDONNÉES,VALEUR
2021,Communauté maritime des Îles-de-la-Madeleine,2021A00032401,Total - Type de construction résidentielle,Total - Taille du ménage,###############################################################################################################################################################################################################################################################,5830
2021,Communauté maritime des Îles-de-la-Madeleine,2021A00032401,Total - Type de construction résidentielle,Taille moyenne des ménages,###############################################################################################################################################################################################################################################################,2.1
2021,Communauté maritime des Îles-de-la-Madeleine,2021A00032401,Maison individuelle non attenante,Total - Taille du ménage,###############################################################################################################################################################################################################################################################,4945
2021,Communauté maritime des Îles-de-la-Madeleine,2021A00032401,Maison individuelle non attenante,Taille moyenne des ménages,###############################################################################################################################################################################################################################################################,2.2
2021,Communauté maritime des Îles-de-la-Madeleine,2021A00032401,Maison jumelée,Total - Taille du ménage,###############################################################################################################################################################################################################################################################,200
2021,Communauté maritime des Îles-de-la-Madeleine,2021A00032401,Maison jumelée,Taille moyenne des ménages,###############################################################################################################################################################################################################################################################,1.8
2021,Communauté maritime des Îles-de-la-Madeleine,2021A00032401,Maison en rangée,Total - Taille du ménage,###############################################################################################################################################################################################################################################################,105
2021,Communauté maritime des Îles-de-la-Madeleine,2021A00032401,Maison en rangée,Taille moyenne des ménages,###############################################################################################################################################################################################################################################################,1.4
2021,Communauté maritime des Îles-de-la-Madeleine,2021A00032401,Appartement ou plain-pied dans un duplex,Total - Taille du ménage,###############################################################################################################################################################################################################################################################,160
2021,Communauté maritime des Îles-de-la-Madeleine,2021A00032401,Appartement ou plain-pied dans un duplex,Taille moyenne des ménages,###############################################################################################################################################################################################################################################################,1.7
2021,Communauté maritime des Îles-de-la-Madeleine,2021A00032401,Appartement dans un immeuble de moins de cinq étages,Total - Taille du ménage,###############################################################################################################################################################################################################################################################,355
2021,Communauté maritime des Îles-de-la-Madeleine,2021A00032401,Appartement dans un immeuble de moins de cinq étages,Taille moyenne des ménages,###############################################################################################################################################################################################################################################################,1.4
2021,Communauté maritime des Îles-de-la-Madeleine,2021A00032401,Appartement dans un immeuble de cinq étages ou plus,Total - Taille du ménage,###############################################################################################################################################################################################################################################################,5
2021,Communauté maritime des Îles-de-la-Madeleine,2021A00032401,Appartement dans un immeuble de cinq étages ou plus,Taille moyenne des ménages,###############################################################################################################################################################################################################################################################,
2021,Communauté maritime des Îles-de-la-Madeleine,2021A00032401,Autre maison individuelle attenante,Total - Taille du ménage,###############################################################################################################################################################################################################################################################,35
