Geographic name,Geographic area type abbreviation,Province or territory abbreviation,Population
Abitibi,MRC,Que.,"24,764"
Abitibi-Ouest,MRC,Que.,"20,526"
Acton,MRC,Que.,"15,654"
Antoine-Labelle,MRC,Que.,"36,462"
Argenteuil,MRC,Que.,"34,752"
Arthabaska,MRC,Que.,"74,348"
Avignon,MRC,Que.,"13,415"
Beauce-Sartigan,MRC,Que.,"53,384"
Beauharnois-Salaberry,MRC,Que.,"68,322"
Bellechasse,MRC,Que.,"38,000"
Bonaventure,MRC,Que.,"17,557"
Brome-Missisquoi,MRC,Que.,"64,786"
Bécancour,MRC,Que.,"20,748"
Charlevoix,MRC,Que.,"13,371"
Charlevoix-Est,MRC,Que.,"15,409"
Coaticook,MRC,Que.,"18,906"
Communauté maritime des Îles-de-la-Madeleine,TÉ,Que.,"12,654"
D'Autray,MRC,Que.,"44,080"
Deux-Montagnes,MRC,Que.,"102,052"
Drummond,MRC,Que.,"107,967"
Francheville,CDR,Que.,"158,343"
Gatineau,TÉ,Que.,"291,041"
Joliette,MRC,Que.,"71,124"
Kamouraska,MRC,Que.,"21,307"
L'Assomption,MRC,Que.,"128,087"
L'Islet,MRC,Que.,"17,598"
L'Érable,MRC,Que.,"23,534"
L'Île-d'Orléans,MRC,Que.,"6,817"
La Côte-de-Beaupré,MRC,Que.,"30,240"
La Côte-de-Gaspé,MRC,Que.,"17,547"
La Haute-Côte-Nord,MRC,Que.,"10,278"
La Haute-Gaspésie,MRC,Que.,"10,950"
La Haute-Yamaska,MRC,Que.,"92,796"
La Jacques-Cartier,MRC,Que.,"47,813"
La Matanie,MRC,Que.,"20,883"
La Matapédia,MRC,Que.,"17,592"
La Mitis,MRC,Que.,"18,363"
La Nouvelle-Beauce,MRC,Que.,"37,988"
La Rivière-du-Nord,MRC,Que.,"140,394"
La Tuque,TÉ,Que.,"15,038"
La Vallée-de-l'Or,MRC,Que.,"43,347"
La Vallée-de-la-Gatineau,MRC,Que.,"20,547"
La Vallée-du-Richelieu,MRC,Que.,"131,803"
Lac-Saint-Jean-Est,MRC,Que.,"52,475"
Laval,TÉ,Que.,"438,366"
Le Domaine-du-Roy,MRC,Que.,"31,095"
Le Granit,MRC,Que.,"21,948"
Le Haut-Richelieu,MRC,Que.,"121,277"
Le Haut-Saint-François,MRC,Que.,"22,926"
Le Haut-Saint-Laurent,MRC,Que.,"22,213"
Le Rocher-Percé,MRC,Que.,"17,219"
Le Saguenay-et-son-Fjord,CDR,Que.,"167,833"
Le Val-Saint-François,MRC,Que.,"31,551"
Les Appalaches,MRC,Que.,"43,412"
Les Basques,MRC,Que.,"8,873"
Les Collines-de-l'Outaouais,MRC,Que.,"54,498"
Les Etchemins,MRC,Que.,"16,927"
Les Jardins-de-Napierville,MRC,Que.,"30,339"
Les Laurentides,MRC,Que.,"50,777"
Les Maskoutains,MRC,Que.,"89,432"
Les Moulins,MRC,Que.,"171,127"
Les Pays-d'en-Haut,MRC,Que.,"46,906"
Les Sources,MRC,Que.,"14,623"
Longueuil,TÉ,Que.,"436,785"
Lotbinière,MRC,Que.,"34,586"
Lévis,TÉ,Que.,"149,683"
Manicouagan,MRC,Que.,"30,158"
Marguerite-D'Youville,MRC,Que.,"80,313"
Maria-Chapdelaine,MRC,Que.,"24,149"
Maskinongé,MRC,Que.,"37,292"
Matawinie,MRC,Que.,"55,500"
Memphrémagog,MRC,Que.,"54,797"
Minganie--Le Golfe-du-Saint-Laurent,CDR,Que.,"9,849"
Mirabel,TÉ,Que.,"61,108"
Montcalm,MRC,Que.,"58,680"
Montmagny,MRC,Que.,"22,481"
Montréal,TÉ,Que.,"2,004,265"
Mékinac,MRC,Que.,"12,762"
Nicolet-Yamaska,MRC,Que.,"23,848"
Nord-du-Québec,CDR,Que.,"45,740"
Papineau,MRC,Que.,"24,308"
Pierre-De Saurel,MRC,Que.,"51,843"
Pontiac,MRC,Que.,"14,764"
Portneuf,MRC,Que.,"55,523"
Québec,TÉ,Que.,"588,777"
Rimouski-Neigette,MRC,Que.,"57,191"
Rivière-du-Loup,MRC,Que.,"35,338"
Robert-Cliche,MRC,Que.,"19,253"
Roussillon,MRC,Que.,"185,568"
Rouville,MRC,Que.,"37,889"
Rouyn-Noranda,TÉ,Que.,"42,313"
Sept-Rivières--Caniapiscau,CDR,Que.,"38,240"
Shawinigan,TÉ,Que.,"49,620"
Sherbrooke,TÉ,Que.,"172,950"
Thérèse-De Blainville,MRC,Que.,"163,632"
Témiscamingue,MRC,Que.,"16,132"
Témiscouata,MRC,Que.,"19,492"
Vaudreuil-Soulanges,MRC,Que.,"162,600"
