#,Name,City,Area
1,"Parc Industriel 640 ouest (Terrebonne)","Terrebonne","N/D / 11,840,301 pi2"
2,"Parc Industriel 640 sud (Terrebonne)","Terrebonne","N/D / 10,225,714 pi2"
3,"Parc Industriel Armand-Bombardier (Terrebonne)","Terrebonne","N/D / 5,166,676 pi2"
4,"Parc Industriel La Plaine (Terrebonne)","Terrebonne","N/D / 1,937,503 pi2"
5,"Parc Industriel Léveillé (Terrebonne)","Terrebonne","N/D / 2,152,782 pi2"
6,"Parc Industriel Lachenaie (Terrebonne)","Terrebonne","N/D / 6,996,541 pi2"
7,"Parc Industriel Mascouche","Terrebonne","N/D / 8,611,128 pi2"
8,"CentrOparc 'Mascouche'","Mascouche","N/D / 4,000,000 pi2"
9,"Parc Industriel Amqui","Amqui","940,500 m2 / 15,715,315 pi2"
10,"Zone Industriel de Causapscal","Causapscal","3,887,000 m2 / 55,005,251 pi2"
11,"Parc Industriel Amqui Secteur Proulx","Amqui","3,580 m2 / 3,336,814 pi2"
12,"Parc Industriel Sayabec Route Rioux","Sayabec","119,839 m2 / 1,433,692 pi2"
13,"Parc Industriel Sayabec Route Pouliot","Sayabec","43,000 m2 / 6,488,669 pi2"
14,"Saint-Jean-sur-Richelieu (secteur Saint-Jean)","Saint-Jean-sur-Richelieu","N/D / 32,076,453 pi2"
15,"Saint-Jean-sur-Richelieu (secteur Iberville)","Saint-Jean-sur-Richelieu","45,355 m2 / 11,087,193 pi2"
16,"Saint-Jean-sur-Richelieu (secteur Saint-Luc)","Saint-Jean-sur-Richelieu","146,749 m2 / 4,510,412 pi2"
17,"Saint-Jean-sur-Richelieu (Parc aéroportuaire et technologique)","Saint-Jean-sur-Richelieu","N/D / 24,328,274 pi2"
18,"Parc industriel de la municipalité de Lacolle","Lacolle","N/D / 414,000 pi2"
19,"Parc industriel de la municipalité de Saint-Alexandre","Saint-Alexandre","5,033 m2 / 460,700 pi2"
20,"Parc d'affaires d'Anjou - Parc industriel d'Anjou (1/1)","Montréal","680,049 m2 / 58,936,564 pi2"
21,"Parc Industriel de Brossard","Brossard","61,971 m2 / 16,112,981 pi2"
22,"Parc industriel Deschambault-Grondines","Deschambault-Grondines","3,297,400 m2 / 54,343,754 pi2"
23,"Parc Industriel d'Issoudun","Notre-Dame-du-Sacré-Coeur-d'Issoudun","222,575 m2 / 7,000,000 pi2"
24,"Parc Industriel de Saint-Apollinaire","Saint-Apollinaire","1,023,922 m2 / 25,833,384 pi2"
25,"Parc d'affaires de la 55","Windsor","95,228 m2 / 1,300,000 pi2"
26,"Zone aéroportuaire","Longueuil","N/D / 65,875,131 pi2"
27,"Parc industriel du secteur d'Auvergne","Longueuil","N/D / 7,534,737 pi2"
28,"Parc industriel Litchfield","Longueuil","N/D / 6,996,541 pi2"
29,"Parc industriel L.-Gérard-Leclerc","Longueuil","N/D / 5,176,364 pi2"
30,"Site industriel de Montmagny (Parcs Louis O Roy et Amable Bélanger)","Montmagny","N/D / 6,307,652 pi2"
31,"Horizon Waterloo","Waterloo","388,041 m2 / 5,796,689 pi2"
32,"Parc Industriel Régional Vert de Papineau","Thurso","140,000 m2 / 16,145,865 pi2"
33,"Parc Industriel Régional de Drummondville","Drummondville","84,077 m2 / 33,165,000 pi2"
34,"Parc Municipal de Drummondville","Drummondville","46,916 m2 / 17,000,000 pi2"
35,"Parc Industriel Vitrine 55 de Drummondville","Drummondville","929,030 m2 / 12,500,000 pi2"
36,"Vitrine Industrielle Autoroute 20","Drummondville","65,032 m2 / 17,000,000 pi2"
37,"Complexe Industriel VALDEV","Salaberry-de-Valleyfield","1,114,836 m2 / 14,000,000 pi2"
38,"Zone Industrielle Saint-Amable","Saint-Amable","N/D / 1,560,767 pi2"
39,"Secteur Scientifique","Varennes","N/D / 11,000,000 pi2"
40,"Zone Industrielle de Verchères","Verchères","60,000 m2 / 3,625,285 pi2"
41,"Zone Industrielle Coulombe","Sainte-Julie","N/D / 3,003,131 pi2"
42,"Parc Industriel Casavant","Sainte-Julie","N/D / 3,388,478 pi2"
43,"Parc Industriel Lourd","Varennes","2,495,000 m2 / 58,446,655 pi2"
